scientific_name_original,scientific_name_WFO,scientific_name_authorship_WFO,family_WFO,recovery_status,releve_ID,plot,year,subregion,latitude,longitude,percent_cover,abundance_class,cover_method,plot_percent_cover,relative_percent_cover,plot_size
Corymbium africanum,Corymbium africanum,L.,Asteraceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Prismatocarpus fruticosus,Prismatocarpus fruticosus,L'Hér.,Campanulaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Ischyrolepis virgea,Restio virgeus,Mast.,Restionaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,15,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.1720183486238533,NA
Crassula fascicularis,Crassula fascicularis,Lam.,Crassulaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Dilatris ixioides,Dilatris ixioides,Lam.,Haemodoraceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Tritoniopsis antholyza,Tritoniopsis antholyza,(Poir.) Goldblatt,Iridaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Ficinia filiformis,Ficinia filiformis,(Lam.) Schrad.,Cyperaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Elegia filacea,Elegia filacea,Mast.,Restionaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,62.5,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.7167431192660554,NA
Thesium nudicaule,Thesium nudicaule,A.W.Hill,Santalaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Centella recticarpa,Centella recticarpa,Adamson,Apiaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.028669724770642214,NA
Lachnaea globulifera,Lachnaea globulifera,Meisn.,Thymelaeaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Aspalathus sericea,Aspalathus sericea,P.J.Bergius,Fabaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Bobartia rufa,Bobartia rufa,Strid,Iridaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Erica placentiflora,Erica placentiflora,Salisb.,Ericaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Erica plukenetii,Erica plukenetii,L.,Ericaceae,wfo_matched,CB_127_1996,CB_127,1996,cederberg,-32.12805556,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,87.19999999999996,0.0011467889908256886,NA
Elytropappus glandulosus,Stoebe glandulosa,(Less.) N.G.Bergh,Asteraceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.0423728813559322,NA
Ficinia deusta,Ficinia deusta,(P.J.Bergius) Levyns,Cyperaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Cannomois parviflora,Cannomois parviflora,(Thunb.) Pillans,Restionaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Ischyrolepis capensis,Restio capensis,(L. ex C.B.Clarke) H.P.Linder & C.R.Hardy,Restionaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Pentaschistis curvifolia,Pentameris curvifolia,(Schrad.) Nees,Poaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Tetraria cuspidata,Schoenus cuspidatus,Rottb.,Cyperaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.0423728813559322,NA
Muraltia heisteria,Muraltia heisteria,(L.) DC.,Polygalaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Osteospermum bidens,Osteospermum bidens,Thunb.,Asteraceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Hypodiscus laevigatus,Hypodiscus laevigatus,(Kunth) H.P.Linder,Restionaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.0423728813559322,NA
Restio filiformis,Restio filiformis,Poir.,Restionaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.0423728813559322,NA
Corymbium africanum,Corymbium africanum,L.,Asteraceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.0423728813559322,NA
Prismatocarpus fruticosus,Prismatocarpus fruticosus,L'Hér.,Campanulaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Ursinia punctata,Ursinia punctata,N.E.Br.,Asteraceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Ischyrolepis virgea,Restio virgeus,Mast.,Restionaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.0423728813559322,NA
Stoebe aethiopica,Stoebe aethiopica,L.,Asteraceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Simocheilus puberulus,Erica inaequalis,(Klotzsch) E.G.H.Oliv.,Ericaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.0423728813559322,NA
Ficinia filiformis,Ficinia filiformis,(Lam.) Schrad.,Cyperaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Elegia filacea,Elegia filacea,Mast.,Restionaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,37.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.635593220338983,NA
Thesium nudicaule,Thesium nudicaule,A.W.Hill,Santalaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Centella recticarpa,Centella recticarpa,Adamson,Apiaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.0423728813559322,NA
Lachnaea globulifera,Lachnaea globulifera,Meisn.,Thymelaeaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Aspalathus sericea,Aspalathus sericea,P.J.Bergius,Fabaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Bobartia rufa,Bobartia rufa,Strid,Iridaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Erica placentiflora,Erica placentiflora,Salisb.,Ericaceae,wfo_matched,CB_128_1996,CB_128,1996,cederberg,-32.12888889,19.01583333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,59.00000000000001,0.001694915254237288,NA
Ehrharta calycina,Ehrharta calycina,Sm.,Poaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Ficinia deusta,Ficinia deusta,(P.J.Bergius) Levyns,Cyperaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Willdenowia arescens,Willdenowia arescens,Kunth,Restionaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Clutia alaternoides,Clutia alaternoides,L.,Peraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Ficinia nigrescens,Ficinia nigrescens,(Schrad.) J.Raynal,Cyperaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Tetraria cuspidata,Schoenus cuspidatus,Rottb.,Cyperaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Ficinia acuminata,Ficinia acuminata,(Nees) Nees,Cyperaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Ischyrolepis gaudichaudiana,Restio gaudichaudianus,Kunth,Restionaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,87.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.6633813495072028,NA
Dimorphotheca acutifolia,Dimorphotheca acutifolia,Hutch.,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Protea nitida,Protea nitida,Mill.,Proteaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,15,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.11372251705837763,NA
Asparagus lignosus,Asparagus lignosus,Burm.f.,Asparagaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Galium capense,Galium capense,Thunb.,Rubiaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Osteospermum rigidum,Osteospermum rigidum,Aiton,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Ursinia punctata,Ursinia punctata,N.E.Br.,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Tephrosia capensis,Tephrosia capensis,(Jacq.) Pers.,Fabaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Silene undulata,Silene undulata,Aiton,Caryophyllaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Stoebe aethiopica,Stoebe aethiopica,L.,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Pentameris macrocalycina,Pentameris macrocalycina,(Steud.) Schweick.,Poaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Senecio erosus,Senecio erosus,L.f.,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Dimorphothec nudicauli,Dimorphotheca nudicaulis,DC.,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Microloma tenuifolium,Microloma tenuifolium,(L.) K.Schum.,Apocynaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Senecio tuberosus,Senecio tuberosus,Harv.,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Festuca scabra,Festuca scabra,Vahl,Poaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Erepsia species,Erepsia,N.E.Br.,Aizoaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Erica placentiflora,Erica placentiflora,Salisb.,Ericaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Cliffortia hexandra,Cliffortia hexandra,Weim.,Rosaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Corymbium species,Corymbium,Gronov.,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Crassula sebaeoides,Crassula sebaeoides,(Eckl. & Zeyh.) Toelken,Crassulaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Felicia diffusa,Felicia diffusa,(DC.) Grau,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,0.018953752843062936,NA
Senecio arenarius,Senecio arenarius,Thunb.,Asteraceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Thesium species,Thesium,L.,Santalaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Selago species,Selago,L.,Scrophulariaceae,wfo_matched,CB_129_1996,CB_129,1996,cederberg,-32.12583333,19.01777778,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,131.89999999999992,7.581501137225176e-4,NA
Ehrharta calycina,Ehrharta calycina,Sm.,Poaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Elytropappus glandulosus,Stoebe glandulosa,(Less.) N.G.Bergh,Asteraceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Ficinia deusta,Ficinia deusta,(P.J.Bergius) Levyns,Cyperaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Leucadendron salignum,Leucadendron salignum,P.J.Bergius,Proteaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.03472222222222224,NA
Pelargonium coronopifolium,Pelargonium coronopifolium,Jacq.,Geraniaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Tetraria nigrovaginata,Tetraria nigrovaginata,(Nees) C.B.Clarke,Cyperaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Wahlenbergia macrostachys,Wahlenbergia macrostachys,(A.DC.) Lammers,Campanulaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Willdenowia arescens,Willdenowia arescens,Kunth,Restionaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.03472222222222224,NA
Ischyrolepis capensis,Restio capensis,(L. ex C.B.Clarke) H.P.Linder & C.R.Hardy,Restionaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Pentaschistis curvifolia,Pentameris curvifolia,(Schrad.) Nees,Poaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Tetraria cuspidata,Schoenus cuspidatus,Rottb.,Cyperaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Diosma meyeriana,Diosma meyeriana,Spreng.,Rutaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Ficinia species,Ficinia,Schrad.,Cyperaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Lobostemon trichotomus,Lobostemon trichotomus,(Thunb.) DC. & A.DC.,Boraginaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Aspalathus linearis,Aspalathus linearis,(Burm.f.) R.Dahlgren,Fabaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.03472222222222224,NA
Protea acaulos,Protea acaulos,(L.) Reichard,Proteaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Crassula fascicularis,Crassula fascicularis,Lam.,Crassulaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Dilatris ixioides,Dilatris ixioides,Lam.,Haemodoraceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Tritoniopsis antholyza,Tritoniopsis antholyza,(Poir.) Goldblatt,Iridaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Elegia filacea,Elegia filacea,Mast.,Restionaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,62.5,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.8680555555555559,NA
Thesium nudicaule,Thesium nudicaule,A.W.Hill,Santalaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Erepsia species,Erepsia,N.E.Br.,Aizoaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Sebaea species,Sebaea,Sol. ex R.Br.,Gentianaceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Wachendorfia paniculata,Wachendorfia paniculata,L.,Haemodoraceae,wfo_matched,CB_130_1996,CB_130,1996,cederberg,-32.12666667,19.01333333,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,71.99999999999997,0.0013888888888888896,NA
Chrysocoma ciliata,Chrysocoma ciliata,L.,Asteraceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Ehrharta calycina,Ehrharta calycina,Sm.,Poaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Helichrysum cylindriflorum,Helichrysum cylindriflorum,(L.) Hilliard & B.L.Burtt,Asteraceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Willdenowia arescens,Willdenowia arescens,Kunth,Restionaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Clutia alaternoides,Clutia alaternoides,L.,Peraceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,0.012619888944977292,NA
Ficinia nigrescens,Ficinia nigrescens,(Schrad.) J.Raynal,Cyperaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,2.5,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,0.012619888944977292,NA
Pentaschistis curvifolia,Pentameris curvifolia,(Schrad.) Nees,Poaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Tetraria cuspidata,Schoenus cuspidatus,Rottb.,Cyperaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Diosma meyeriana,Diosma meyeriana,Spreng.,Rutaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Muraltia heisteria,Muraltia heisteria,(L.) DC.,Polygalaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Tribolium hispidum,Tribolium hispidum,(Thunb.) Desv.,Poaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Ficinia acuminata,Ficinia acuminata,(Nees) Nees,Cyperaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,0.1,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,5.047955577990917e-4,NA
Ischyrolepis gaudichaudiana,Restio gaudichaudianus,Kunth,Restionaceae,wfo_matched,CB_131_1996,CB_131,1996,cederberg,-32.12527778,19.01361111,87.5,NA,percent_cover_class_derived_from_Braun_Blanquet,198.09999999999988,0.4416961130742052,NA
