Family,Genus,Species,Taxon
Cunoniaceae,Cunonia,capensis,Cunonia capensis
Curtisiaceae,Curtisia,dentata,Curtisia dentata
Convolvulaceae,Cuscuta,africana,Cuscuta africana
Convolvulaceae,Cuscuta,angulata,Cuscuta angulata
Convolvulaceae,Cuscuta,appendiculata,Cuscuta appendiculata
Convolvulaceae,Cuscuta,bifurcata,Cuscuta bifurcata
Convolvulaceae,Cuscuta,cassytoides,Cuscuta cassytoides
Convolvulaceae,Cuscuta,nitida,Cuscuta nitida
Asteraceae,Cuspidia,cernua,Cuspidia cernua
Araliaceae,Cussonia,gamtoosensis,Cussonia gamtoosensis
Araliaceae,Cussonia,paniculata,Cussonia paniculata
Araliaceae,Cussonia,spicata,Cussonia spicata
Araliaceae,Cussonia,thyrsiflora,Cussonia thyrsiflora
Tecophilaeaceae,Cyanella,alba,Cyanella alba
Tecophilaeaceae,Cyanella,aquatica,Cyanella aquatica
Tecophilaeaceae,Cyanella,cygnea,Cyanella cygnea
Tecophilaeaceae,Cyanella,hyacinthoides,Cyanella hyacinthoides
Tecophilaeaceae,Cyanella,lutea,Cyanella lutea
Tecophilaeaceae,Cyanella,orchidiformis,Cyanella orchidiformis
Tecophilaeaceae,Cyanella,pentheri,Cyanella pentheri
Tecophilaeaceae,Cyanella,ramosissima,Cyanella ramosissima
Tecophilaeaceae,Cyanella,sp. A,Cyanella sp. A
Commelinaceae,Cyanotis,speciosa,Cyanotis speciosa
Cyperaceae,Cyathocoma,ecklonii,Cyathocoma ecklonii
Cyperaceae,Cyathocoma,hexandra,Cyathocoma hexandra
Amaranthaceae,Cyathula,uncinatula,Cyathula uncinatula
Fabaceae,Cyclopia,alopecuroides,Cyclopia alopecuroides
Fabaceae,Cyclopia,alpina,Cyclopia alpina
Fabaceae,Cyclopia,aurescens,Cyclopia aurescens
Fabaceae,Cyclopia,bolusii,Cyclopia bolusii
Fabaceae,Cyclopia,bowieana,Cyclopia bowieana
Fabaceae,Cyclopia,burtonii,Cyclopia burtonii
Fabaceae,Cyclopia,buxifolia,Cyclopia buxifolia
Fabaceae,Cyclopia,falcata,Cyclopia falcata
Fabaceae,Cyclopia,filiformis,Cyclopia filiformis
Fabaceae,Cyclopia,galioides,Cyclopia galioides
Fabaceae,Cyclopia,genistoides,Cyclopia genistoides
Fabaceae,Cyclopia,glabra,Cyclopia glabra
Fabaceae,Cyclopia,intermedia,Cyclopia intermedia
Fabaceae,Cyclopia,latifolia,Cyclopia latifolia
Fabaceae,Cyclopia,laxiflora,Cyclopia laxiflora
Fabaceae,Cyclopia,longifolia,Cyclopia longifolia
Fabaceae,Cyclopia,maculata,Cyclopia maculata
Fabaceae,Cyclopia,meyeriana,Cyclopia meyeriana
Fabaceae,Cyclopia,plicata,Cyclopia plicata
Fabaceae,Cyclopia,pubescens,Cyclopia pubescens
Fabaceae,Cyclopia,sessiliflora,Cyclopia sessiliflora
Fabaceae,Cyclopia,squamosa,Cyclopia squamosa
Fabaceae,Cyclopia,subternata,Cyclopia subternata
Thelypteridaceae,Cyclosorus,gueinziana,Cyclosorus gueinziana
Thelypteridaceae,Cyclosorus,interruptus,Cyclosorus interruptus
Thelypteridaceae,Cyclosorus,pozoi,Cyclosorus pozoi
Orobanchaceae,Cycnium,tubulosum,Cycnium tubulosum
Aizoaceae,Cylindrophyllum,comptonii,Cylindrophyllum comptonii
Aizoaceae,Cylindrophyllum,hallii,Cylindrophyllum hallii
Aizoaceae,Cylindrophyllum,tugwelliae,Cylindrophyllum tugwelliae
Asteraceae,Cymbopappus,adenosolen,Cymbopappus adenosolen
Poaceae,Cymbopogon,dieterleniae,Cymbopogon dieterleniae
Poaceae,Cymbopogon,marginatus,Cymbopogon marginatus
Poaceae,Cymbopogon,nardus,Cymbopogon nardus
Poaceae,Cymbopogon,pospischilii,Cymbopogon pospischilii
Poaceae,Cymbopogon,prolixus,Cymbopogon prolixus
Apocynaceae,Cynanchum,africanum,Cynanchum africanum
Apocynaceae,Cynanchum,ellipticum,Cynanchum ellipticum
Apocynaceae,Cynanchum,gerrardii,Cynanchum gerrardii
Apocynaceae,Cynanchum,meyeri,Cynanchum meyeri
Apocynaceae,Cynanchum,natalitium,Cynanchum natalitium
Apocynaceae,Cynanchum,obtusifolium,Cynanchum obtusifolium
Apocynaceae,Cynanchum,zeyheri,Cynanchum zeyheri
Poaceae,Cynodon,dactylon,Cynodon dactylon
Poaceae,Cynodon,incompletus,Cynodon incompletus
Poaceae,Cynodon,transvaalensis,Cynodon transvaalensis
Boraginaceae,Cynoglossum,hispidum,Cynoglossum hispidum
Boraginaceae,Cynoglossum,lanceolatum,Cynoglossum lanceolatum
Boraginaceae,Cynoglossum,obtusicalyx,Cynoglossum obtusicalyx
Apiaceae,Cynorhiza,bolusii,Cynorhiza bolusii
Apiaceae,Cynorhiza,meifolia,Cynorhiza meifolia
Apiaceae,Cynorhiza,typica,Cynorhiza typica
Poaceae,Cynosurus,coloratus,Cynosurus coloratus
Poaceae,Cynosurus,echinatus,Cynosurus echinatus
Cyperaceae,Cyperus,albostriatus,Cyperus albostriatus
Cyperaceae,Cyperus,brevis,Cyperus brevis
Cyperaceae,Cyperus,capensis,Cyperus capensis
Cyperaceae,Cyperus,congestus,Cyperus congestus
Cyperaceae,Cyperus,denudatus,Cyperus denudatus
Cyperaceae,Cyperus,dives,Cyperus dives
Cyperaceae,Cyperus,durus,Cyperus durus
Cyperaceae,Cyperus,eragrostis,Cyperus eragrostis
Cyperaceae,Cyperus,esculentus,Cyperus esculentus
Cyperaceae,Cyperus,fastigiatus,Cyperus fastigiatus
Cyperaceae,Cyperus,laevigatus,Cyperus laevigatus
Cyperaceae,Cyperus,longus,Cyperus longus
Cyperaceae,Cyperus,marginatus,Cyperus marginatus
Cyperaceae,Cyperus,pulcher,Cyperus pulcher
Cyperaceae,Cyperus,rotundus,Cyperus rotundus
Cyperaceae,Cyperus,rubicundus,Cyperus rubicundus
Cyperaceae,Cyperus,rupestris,Cyperus rupestris
Cyperaceae,Cyperus,semitrifidus,Cyperus semitrifidus
Cyperaceae,Cyperus,solidus,Cyperus solidus
Cyperaceae,Cyperus,sphaerospermus,Cyperus sphaerospermus
Cyperaceae,Cyperus,tabularis,Cyperus tabularis
Cyperaceae,Cyperus,textilis,Cyperus textilis
Cyperaceae,Cyperus,thunbergii,Cyperus thunbergii
Cyperaceae,Cyperus,uitenhagensis,Cyperus uitenhagensis
Cyperaceae,Cyperus,usitatus,Cyperus usitatus
Lobeliaceae,Cyphia,angustiloba,Cyphia angustiloba
Lobeliaceae,Cyphia,bulbosa,Cyphia bulbosa
Lobeliaceae,Cyphia,campestris,Cyphia campestris
Lobeliaceae,Cyphia,comptonii,Cyphia comptonii
Lobeliaceae,Cyphia,crenata,Cyphia crenata
Lobeliaceae,Cyphia,dentariifolia,Cyphia dentariifolia
Lobeliaceae,Cyphia,dentata,Cyphia dentata
Lobeliaceae,Cyphia,digitata,Cyphia digitata
Lobeliaceae,Cyphia,eckloniana,Cyphia eckloniana
Lobeliaceae,Cyphia,georgica,Cyphia georgica
Lobeliaceae,Cyphia,heterophylla,Cyphia heterophylla
Lobeliaceae,Cyphia,incisa,Cyphia incisa
Lobeliaceae,Cyphia,latipetala,Cyphia latipetala
Lobeliaceae,Cyphia,linarioides,Cyphia linarioides
Lobeliaceae,Cyphia,longiflora,Cyphia longiflora
Lobeliaceae,Cyphia,longilobata,Cyphia longilobata
Lobeliaceae,Cyphia,longipetala,Cyphia longipetala
Lobeliaceae,Cyphia,oligotricha,Cyphia oligotricha
Lobeliaceae,Cyphia,phyteuma,Cyphia phyteuma
Lobeliaceae,Cyphia,polydactyla,Cyphia polydactyla
Lobeliaceae,Cyphia,psilostemon,Cyphia psilostemon
Lobeliaceae,Cyphia,ranunculifolia,Cyphia ranunculifolia
Lobeliaceae,Cyphia,schlechteri,Cyphia schlechteri
Lobeliaceae,Cyphia,sp. 1,Cyphia sp. 1
Lobeliaceae,Cyphia,subtubulata,Cyphia subtubulata
Lobeliaceae,Cyphia,sylvatica,Cyphia sylvatica
Lobeliaceae,Cyphia,undulata,Cyphia undulata
Lobeliaceae,Cyphia,volubilis,Cyphia volubilis
Lobeliaceae,Cyphia,zeyheriana,Cyphia zeyheriana
Vitaceae,Cyphostemma,cirrhosum,Cyphostemma cirrhosum
Amaryllidaceae,Cyrtanthus,angustifolius,Cyrtanthus angustifolius
Amaryllidaceae,Cyrtanthus,aureolinus,Cyrtanthus aureolinus
Amaryllidaceae,Cyrtanthus,carneus,Cyrtanthus carneus
Amaryllidaceae,Cyrtanthus,collinus,Cyrtanthus collinus
Amaryllidaceae,Cyrtanthus,debilis,Cyrtanthus debilis
Amaryllidaceae,Cyrtanthus,elatus,Cyrtanthus elatus
Amaryllidaceae,Cyrtanthus,fergusoniae,Cyrtanthus fergusoniae
Amaryllidaceae,Cyrtanthus,flammosus,Cyrtanthus flammosus
Amaryllidaceae,Cyrtanthus,guthrieae,Cyrtanthus guthrieae
Amaryllidaceae,Cyrtanthus,herrei,Cyrtanthus herrei
Amaryllidaceae,Cyrtanthus,inaequalis,Cyrtanthus inaequalis
Amaryllidaceae,Cyrtanthus,labiatus,Cyrtanthus labiatus
Amaryllidaceae,Cyrtanthus,leptosiphon,Cyrtanthus leptosiphon
Amaryllidaceae,Cyrtanthus,leucanthus,Cyrtanthus leucanthus
Amaryllidaceae,Cyrtanthus,loddigesianus,Cyrtanthus loddigesianus
Amaryllidaceae,Cyrtanthus,montanus,Cyrtanthus montanus
Amaryllidaceae,Cyrtanthus,obliquus,Cyrtanthus obliquus
Amaryllidaceae,Cyrtanthus,ochroleucus,Cyrtanthus ochroleucus
Amaryllidaceae,Cyrtanthus,odorus,Cyrtanthus odorus
Amaryllidaceae,Cyrtanthus,sanguineus,Cyrtanthus sanguineus
Amaryllidaceae,Cyrtanthus,spiralis,Cyrtanthus spiralis
Amaryllidaceae,Cyrtanthus,staadensis,Cyrtanthus staadensis
Amaryllidaceae,Cyrtanthus,ventricosus,Cyrtanthus ventricosus
Amaryllidaceae,Cyrtanthus,wellandii,Cyrtanthus wellandii
Dryopteridaceae,Cyrtomium,falcatum,Cyrtomium falcatum
Orchidaceae,Cyrtorchis,arcuata,Cyrtorchis arcuata
Fumariaceae,Cysticapnos,cracca,Cysticapnos cracca
Fumariaceae,Cysticapnos,vesicaria,Cysticapnos vesicaria
Cystopteridaceae,Cystopteris,fragilis,Cystopteris fragilis
Cytinaceae,Cytinus,capensis,Cytinus capensis
Cytinaceae,Cytinus,sanguineus,Cytinus sanguineus
Euphorbiaceae,Dalechampia,capensis,Dalechampia capensis
Apiaceae,Dasispermum,capense,Dasispermum capense
Apiaceae,Dasispermum,grandicarpum,Dasispermum grandicarpum
Apiaceae,Dasispermum,hispidum,Dasispermum hispidum
Apiaceae,Dasispermum,perennans,Dasispermum perennans
Apiaceae,Dasispermum,suffruticosum,Dasispermum suffruticosum
Apiaceae,Dasispermum,tenue,Dasispermum tenue
Hyacinthaceae,Daubenya,alba,Daubenya alba
Hyacinthaceae,Daubenya,aurea,Daubenya aurea
Hyacinthaceae,Daubenya,capensis,Daubenya capensis
Hyacinthaceae,Daubenya,marginata,Daubenya marginata
Hyacinthaceae,Daubenya,namaquensis,Daubenya namaquensis
Hyacinthaceae,Daubenya,stylosa,Daubenya stylosa
Hyacinthaceae,Daubenya,zeyheri,Daubenya zeyheri
Asteraceae,Dauresia,flava,Dauresia flava
Aizoaceae,Deilanthe,hilmarii,Deilanthe hilmarii
Aizoaceae,Deilanthe,peersii,Deilanthe peersii
Aizoaceae,Deilanthe,thudichumii,Deilanthe thudichumii
Asteraceae,Delairea,odorata,Delairea odorata
Aizoaceae,Delosperma,acocksii,Delosperma acocksii
Aizoaceae,Delosperma,burtoniae,Delosperma burtoniae
Aizoaceae,Delosperma,calitzdorpense,Delosperma calitzdorpense
Aizoaceae,Delosperma,crassum,Delosperma crassum
Aizoaceae,Delosperma,ecklonis,Delosperma ecklonis
Aizoaceae,Delosperma,esterhuyseniae,Delosperma esterhuyseniae
Aizoaceae,Delosperma,fredericii,Delosperma fredericii
Aizoaceae,Delosperma,gratiae,Delosperma gratiae
Aizoaceae,Delosperma,guthriei,Delosperma guthriei
Aizoaceae,Delosperma,hollandii,Delosperma hollandii
Aizoaceae,Delosperma,inaequale,Delosperma inaequale
Aizoaceae,Delosperma,inconspicuum,Delosperma inconspicuum
Aizoaceae,Delosperma,klinghardtianum,Delosperma klinghardtianum
Aizoaceae,Delosperma,litorale,Delosperma litorale
Aizoaceae,Delosperma,macrostigma,Delosperma macrostigma
Aizoaceae,Delosperma,mariae,Delosperma mariae
Aizoaceae,Delosperma,multiflorum,Delosperma multiflorum
Aizoaceae,Delosperma,neethlingiae,Delosperma neethlingiae
Aizoaceae,Delosperma,pageanum,Delosperma pageanum
Aizoaceae,Delosperma,parviflorum,Delosperma parviflorum
Aizoaceae,Delosperma,patersoniae,Delosperma patersoniae
Aizoaceae,Delosperma,pubipetalum,Delosperma pubipetalum
Aizoaceae,Delosperma,saxicola,Delosperma saxicola
Aizoaceae,Delosperma,sphalmanthoides,Delosperma sphalmanthoides
Aizoaceae,Delosperma,subincanum,Delosperma subincanum
Aizoaceae,Delosperma,uitenhagense,Delosperma uitenhagense
Aizoaceae,Delosperma,uncinatum,Delosperma uncinatum
Aizoaceae,Delosperma,virens,Delosperma virens
Brassicaceae,Descurainia,sophia,Descurainia sophia
Fabaceae,Desmodium,repandum,Desmodium repandum
Apiaceae,Deverra,denudata,Deverra denudata
Iridaceae,Devia,xeromorpha,Devia xeromorpha
Poaceae,Diandrochloa,namaquensis,Diandrochloa namaquensis
Caryophyllaceae,Dianthus,albens,Dianthus albens
Caryophyllaceae,Dianthus,basuticus,Dianthus basuticus
Caryophyllaceae,Dianthus,bolusii,Dianthus bolusii
Caryophyllaceae,Dianthus,caespitosus,Dianthus caespitosus
Caryophyllaceae,Dianthus,kamisbergensis,Dianthus kamisbergensis
Caryophyllaceae,Dianthus,laingsburgensis,Dianthus laingsburgensis
Caryophyllaceae,Dianthus,micropetalus,Dianthus micropetalus
Caryophyllaceae,Dianthus,namaensis,Dianthus namaensis
Caryophyllaceae,Dianthus,thunbergii,Dianthus thunbergii
Scrophulariaceae,Diascia,albicornis,Diascia albicornis
Scrophulariaceae,Diascia,albiloba,Diascia albiloba
Scrophulariaceae,Diascia,alonsooides,Diascia alonsooides
Scrophulariaceae,Diascia,appendiculata,Diascia appendiculata
Scrophulariaceae,Diascia,arenicola,Diascia arenicola
Scrophulariaceae,Diascia,batteniana,Diascia batteniana
Scrophulariaceae,Diascia,bicolor,Diascia bicolor
Scrophulariaceae,Diascia,bicornuta,Diascia bicornuta
Scrophulariaceae,Diascia,caitliniae,Diascia caitliniae
Scrophulariaceae,Diascia,capensis,Diascia capensis
Scrophulariaceae,Diascia,cardiosepala,Diascia cardiosepala
Scrophulariaceae,Diascia,catherineae,Diascia catherineae
Scrophulariaceae,Diascia,collina,Diascia collina
Scrophulariaceae,Diascia,cuneata,Diascia cuneata
Scrophulariaceae,Diascia,decipiens,Diascia decipiens
Scrophulariaceae,Diascia,diffusa,Diascia diffusa
Scrophulariaceae,Diascia,dilatata,Diascia dilatata
Scrophulariaceae,Diascia,dimorpha,Diascia dimorpha
Scrophulariaceae,Diascia,dissimulans,Diascia dissimulans
Scrophulariaceae,Diascia,ellaphieae,Diascia ellaphieae
Scrophulariaceae,Diascia,elongata,Diascia elongata
Scrophulariaceae,Diascia,fragrans,Diascia fragrans
Scrophulariaceae,Diascia,gracilis,Diascia gracilis
Scrophulariaceae,Diascia,grantiana,Diascia grantiana
Scrophulariaceae,Diascia,hexensis,Diascia hexensis
Scrophulariaceae,Diascia,humilis,Diascia humilis
Scrophulariaceae,Diascia,insignis,Diascia insignis
Scrophulariaceae,Diascia,lewisiae,Diascia lewisiae
Scrophulariaceae,Diascia,longicornis,Diascia longicornis
Scrophulariaceae,Diascia,macrophylla,Diascia macrophylla
Scrophulariaceae,Diascia,maculata,Diascia maculata
Scrophulariaceae,Diascia,minutiflora,Diascia minutiflora
Scrophulariaceae,Diascia,namaquensis,Diascia namaquensis
Scrophulariaceae,Diascia,nana,Diascia nana
Scrophulariaceae,Diascia,nodosa,Diascia nodosa
Scrophulariaceae,Diascia,oblongata,Diascia oblongata
Scrophulariaceae,Diascia,occidentalis,Diascia occidentalis
Scrophulariaceae,Diascia,pachyceras,Diascia pachyceras
Scrophulariaceae,Diascia,parviflora,Diascia parviflora
Scrophulariaceae,Diascia,patens,Diascia patens
Scrophulariaceae,Diascia,pusilla,Diascia pusilla
Scrophulariaceae,Diascia,rudolphii,Diascia rudolphii
Scrophulariaceae,Diascia,runcinata,Diascia runcinata
Scrophulariaceae,Diascia,sacculata,Diascia sacculata
Scrophulariaceae,Diascia,sp. A,Diascia sp. A
Scrophulariaceae,Diascia,sp. B,Diascia sp. B
Scrophulariaceae,Diascia,speciosa,Diascia speciosa
Scrophulariaceae,Diascia,stenocarpa,Diascia stenocarpa
Scrophulariaceae,Diascia,tanyceras,Diascia tanyceras
Scrophulariaceae,Diascia,variabilis,Diascia variabilis
Scrophulariaceae,Diascia,veronicoides,Diascia veronicoides
Scrophulariaceae,Diascia,whiteheadii,Diascia whiteheadii
Proteaceae,Diastella,buekii,Diastella buekii
Proteaceae,Diastella,divaricata,Diastella divaricata
Proteaceae,Diastella,fraterna,Diastella fraterna
Proteaceae,Diastella,myrtifolia,Diastella myrtifolia
Proteaceae,Diastella,parilis,Diastella parilis
Proteaceae,Diastella,proteoides,Diastella proteoides
Proteaceae,Diastella,thymelaeoides,Diastella thymelaeoides
Poaceae,Dichanthium,annulatum,Dichanthium annulatum
Fabaceae,Dichilus,gracilis,Dichilus gracilis
Convolvulaceae,Dichondra,micrantha,Dichondra micrantha
Asteraceae,Dichrocephala,integrifolia,Dichrocephala integrifolia
Dicksoniaceae,Dicksonia,antarctica,Dicksonia antarctica
Acanthaceae,Dicliptera,capensis,Dicliptera capensis
Acanthaceae,Dicliptera,cernua,Dicliptera cernua
Acanthaceae,Dicliptera,extenta,Dicliptera extenta
Scrophulariaceae,Diclis,petiolaris,Diclis petiolaris
Scrophulariaceae,Diclis,reptans,Diclis reptans
Asteraceae,Dicoma,capensis,Dicoma capensis
Asteraceae,Dicoma,fruticosa,Dicoma fruticosa
Asteraceae,Dicoma,nachtigalii,Dicoma nachtigalii
Asteraceae,Dicoma,obconica,Dicoma obconica
Asteraceae,Dicoma,picta,Dicoma picta
Aizoaceae,Dicrocaulon,brevifolium,Dicrocaulon brevifolium
Aizoaceae,Dicrocaulon,grandiflorum,Dicrocaulon grandiflorum
Aizoaceae,Dicrocaulon,humile,Dicrocaulon humile
Aizoaceae,Dicrocaulon,microstigma,Dicrocaulon microstigma
Aizoaceae,Dicrocaulon,nodosum,Dicrocaulon nodosum
Aizoaceae,Dicrocaulon,ramulosum,Dicrocaulon ramulosum
Aizoaceae,Dicrocaulon,spissum,Dicrocaulon spissum
Asteraceae,Didelta,carnosa,Didelta carnosa
Asteraceae,Didelta,spinosa,Didelta spinosa
Aizoaceae,Didymaotus,lapidiformis,Didymaotus lapidiformis
Urticaceae,Didymodoxa,caffra,Didymodoxa caffra
Urticaceae,Didymodoxa,capensis,Didymodoxa capensis
Iridaceae,Dierama,pendulum,Dierama pendulum
Iridaceae,Dietes,iridioides,Dietes iridioides
Poaceae,Digitaria,argyrograpta,Digitaria argyrograpta
Poaceae,Digitaria,debilis,Digitaria debilis
Poaceae,Digitaria,eriantha,Digitaria eriantha
Poaceae,Digitaria,natalensis,Digitaria natalensis
Poaceae,Digitaria,sanguinalis,Digitaria sanguinalis
Poaceae,Digitaria,scalarum,Digitaria scalarum
Haemodoraceae,Dilatris,corymbosa,Dilatris corymbosa
Haemodoraceae,Dilatris,ixioides,Dilatris ixioides
Haemodoraceae,Dilatris,pillansii,Dilatris pillansii
Haemodoraceae,Dilatris,viscosa,Dilatris viscosa
Asteraceae,Dimorphotheca,acutifolia,Dimorphotheca acutifolia
Asteraceae,Dimorphotheca,chrysanthemifolia,Dimorphotheca chrysanthemifolia
Asteraceae,Dimorphotheca,cuneata,Dimorphotheca cuneata
Asteraceae,Dimorphotheca,dregei,Dimorphotheca dregei
Asteraceae,Dimorphotheca,ecklonis,Dimorphotheca ecklonis
Asteraceae,Dimorphotheca,fruticosa,Dimorphotheca fruticosa
Asteraceae,Dimorphotheca,montana,Dimorphotheca montana
Asteraceae,Dimorphotheca,nudicaulis,Dimorphotheca nudicaulis
Asteraceae,Dimorphotheca,pinnata,Dimorphotheca pinnata
Asteraceae,Dimorphotheca,pluvialis,Dimorphotheca pluvialis
Asteraceae,Dimorphotheca,polyptera,Dimorphotheca polyptera
Asteraceae,Dimorphotheca,sinuata,Dimorphotheca sinuata
Asteraceae,Dimorphotheca,tragus,Dimorphotheca tragus
Dioscoreaceae,Dioscorea,burchellii,Dioscorea burchellii
Dioscoreaceae,Dioscorea,cotinifolia,Dioscorea cotinifolia
Dioscoreaceae,Dioscorea,elephantipes,Dioscorea elephantipes
Dioscoreaceae,Dioscorea,hemicrypta,Dioscorea hemicrypta
Dioscoreaceae,Dioscorea,mundii,Dioscorea mundii
Dioscoreaceae,Dioscorea,sylvatica,Dioscorea sylvatica
Rutaceae,Diosma,acmaeophylla,Diosma acmaeophylla
Rutaceae,Diosma,apetala,Diosma apetala
Rutaceae,Diosma,arenicola,Diosma arenicola
Rutaceae,Diosma,aristata,Diosma aristata
Rutaceae,Diosma,aspalathoides,Diosma aspalathoides
Rutaceae,Diosma,awilana,Diosma awilana
Rutaceae,Diosma,demissa,Diosma demissa
Rutaceae,Diosma,dichotoma,Diosma dichotoma
Rutaceae,Diosma,echinulata,Diosma echinulata
Rutaceae,Diosma,fallax,Diosma fallax
Rutaceae,Diosma,guthriei,Diosma guthriei
Rutaceae,Diosma,haelkraalensis,Diosma haelkraalensis
Rutaceae,Diosma,hirsuta,Diosma hirsuta
Rutaceae,Diosma,meyeriana,Diosma meyeriana
Rutaceae,Diosma,oppositifolia,Diosma oppositifolia
Rutaceae,Diosma,parvula,Diosma parvula
Rutaceae,Diosma,passerinoides,Diosma passerinoides
Rutaceae,Diosma,pedicellata,Diosma pedicellata
Rutaceae,Diosma,pilosa,Diosma pilosa
Rutaceae,Diosma,prama,Diosma prama
Rutaceae,Diosma,ramosissima,Diosma ramosissima
Rutaceae,Diosma,recurva,Diosma recurva
Rutaceae,Diosma,rourkei,Diosma rourkei
Rutaceae,Diosma,sabulosa,Diosma sabulosa
Rutaceae,Diosma,strumosa,Diosma strumosa
Rutaceae,Diosma,subulata,Diosma subulata
Rutaceae,Diosma,tenella,Diosma tenella
Rutaceae,Diosma,thyrsophora,Diosma thyrsophora
Ebenaceae,Diospyros,acocksii,Diospyros acocksii
Ebenaceae,Diospyros,austro-africana,Diospyros austro-africana
Ebenaceae,Diospyros,dichrophylla,Diospyros dichrophylla
Ebenaceae,Diospyros,glabra,Diospyros glabra
Ebenaceae,Diospyros,lycioides,Diospyros lycioides
Ebenaceae,Diospyros,pallens,Diospyros pallens
Ebenaceae,Diospyros,ramulosa,Diospyros ramulosa
Ebenaceae,Diospyros,whyteana,Diospyros whyteana
Hyacinthaceae,Dipcadi,bakerianum,Dipcadi bakerianum
Hyacinthaceae,Dipcadi,brevifolium,Dipcadi brevifolium
Hyacinthaceae,Dipcadi,ciliare,Dipcadi ciliare
Hyacinthaceae,Dipcadi,crispum,Dipcadi crispum
Hyacinthaceae,Dipcadi,viride,Dipcadi viride
Aizoaceae,Diplosoma,luckhoffii,Diplosoma luckhoffii
Aizoaceae,Diplosoma,retroversum,Diplosoma retroversum
Fabaceae,Dipogon,lignosus,Dipogon lignosus
Orchidaceae,Disa,aconitoides,Disa aconitoides
Orchidaceae,Disa,albomagentea,Disa albomagentea
Orchidaceae,Disa,arida,Disa arida
Orchidaceae,Disa,atricapilla,Disa atricapilla
Orchidaceae,Disa,atrorubens,Disa atrorubens
Orchidaceae,Disa,aurata,Disa aurata
Orchidaceae,Disa,barbata,Disa barbata
Orchidaceae,Disa,begleyi,Disa begleyi
Orchidaceae,Disa,bifida,Disa bifida
Orchidaceae,Disa,bivalvata,Disa bivalvata
Orchidaceae,Disa,bodkinii,Disa bodkinii
Orchidaceae,Disa,bolusiana,Disa bolusiana
Orchidaceae,Disa,brachyceras,Disa brachyceras
Orchidaceae,Disa,bracteata,Disa bracteata
Orchidaceae,Disa,brevicornis,Disa brevicornis
Orchidaceae,Disa,brevipetala,Disa brevipetala
Orchidaceae,Disa,cardinalis,Disa cardinalis
Orchidaceae,Disa,caulescens,Disa caulescens
Orchidaceae,Disa,cedarbergensis,Disa cedarbergensis
Orchidaceae,Disa,cernua,Disa cernua
Orchidaceae,Disa,chrysostachya,Disa chrysostachya
Orchidaceae,Disa,cochlearis,Disa cochlearis
Orchidaceae,Disa,comosa,Disa comosa
Orchidaceae,Disa,conferta,Disa conferta
Orchidaceae,Disa,cornuta,Disa cornuta
Orchidaceae,Disa,cylindrica,Disa cylindrica
Orchidaceae,Disa,densiflora,Disa densiflora
Orchidaceae,Disa,draconis,Disa draconis
Orchidaceae,Disa,ecalcarata,Disa ecalcarata
Orchidaceae,Disa,elegans,Disa elegans
Orchidaceae,Disa,esterhuyseniae,Disa esterhuyseniae
Orchidaceae,Disa,fasciata,Disa fasciata
Orchidaceae,Disa,ferruginea,Disa ferruginea
Orchidaceae,Disa,filicornis,Disa filicornis
Orchidaceae,Disa,flexuosa,Disa flexuosa
Orchidaceae,Disa,forcipata,Disa forcipata
Orchidaceae,Disa,forficaria,Disa forficaria
Orchidaceae,Disa,gladioliflora,Disa gladioliflora
Orchidaceae,Disa,glandulosa,Disa glandulosa
Orchidaceae,Disa,graminifolia,Disa graminifolia
Orchidaceae,Disa,hallackii,Disa hallackii
Orchidaceae,Disa,harveiana,Disa harveiana
Orchidaceae,Disa,hians,Disa hians
Orchidaceae,Disa,inflexa,Disa inflexa
Orchidaceae,Disa,introrsa,Disa introrsa
Orchidaceae,Disa,karooica,Disa karooica
Orchidaceae,Disa,linderiana,Disa linderiana
Orchidaceae,Disa,lineata,Disa lineata
Orchidaceae,Disa,longicornu,Disa longicornu
Orchidaceae,Disa,longifolia,Disa longifolia
Orchidaceae,Disa,longipetala,Disa longipetala
Orchidaceae,Disa,lugens,Disa lugens
Orchidaceae,Disa,macrostachya,Disa macrostachya
Orchidaceae,Disa,maculata,Disa maculata
Orchidaceae,Disa,marlothii,Disa marlothii
Orchidaceae,Disa,micropetala,Disa micropetala
Orchidaceae,Disa,minor,Disa minor
Orchidaceae,Disa,multifida,Disa multifida
Orchidaceae,Disa,neglecta,Disa neglecta
Orchidaceae,Disa,newdigateae,Disa newdigateae
Orchidaceae,Disa,nubigena,Disa nubigena
Orchidaceae,Disa,obliqua,Disa obliqua
Orchidaceae,Disa,obtusa,Disa obtusa
Orchidaceae,Disa,ocellata,Disa ocellata
Orchidaceae,Disa,oligantha,Disa oligantha
Orchidaceae,Disa,ophrydea,Disa ophrydea
Orchidaceae,Disa,ovalifolia,Disa ovalifolia
Orchidaceae,Disa,physodes,Disa physodes
Orchidaceae,Disa,pillansii,Disa pillansii
Orchidaceae,Disa,polygonoides,Disa polygonoides
Orchidaceae,Disa,porrecta,Disa porrecta
Orchidaceae,Disa,procera,Disa procera
Orchidaceae,Disa,purpurascens,Disa purpurascens
Orchidaceae,Disa,pygmaea,Disa pygmaea
Orchidaceae,Disa,racemosa,Disa racemosa
Orchidaceae,Disa,remota,Disa remota
Orchidaceae,Disa,reticulata,Disa reticulata
Orchidaceae,Disa,richardiana,Disa richardiana
Orchidaceae,Disa,rosea,Disa rosea
